Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Tyson Barrie,NSH,D,85,13,42,55,-7,36,163,1,4,27,0,1,55,90
Tyler Johnson,CHI,C,56,12,20,32,-21,16,125,0,4,5,0,0,49,25
Matt Nieto,COL,LW,81,12,12,24,-15,16,115,2,0,1,0,0,43,32
Darnell Nurse,EDM,D,82,12,31,43,26,64,203,4,0,1,2,1,146,164
Brock McGinn,ANH,LW,75,12,7,19,-6,21,91,3,0,0,2,0,84,43
Colton Sissons,NSH,RW,82,12,18,30,-4,20,87,1,0,2,1,0,164,72
Teuvo Teravainen,CAR,C,68,12,25,37,11,16,144,2,5,6,2,1,15,18
Kris Letang,PIT,D,64,12,29,41,-13,30,161,3,6,15,1,0,162,108
Corey Perry,TB,RW,81,12,13,25,-28,95,116,3,6,6,0,0,48,25
James van Riemsdyk,PHI,LW,61,12,17,29,-3,28,119,1,2,2,0,0,18,20
Evgeny Kuznetsov,WAS,C,81,12,43,55,-26,56,172,2,5,13,0,0,43,29
Ryan Johansen,NSH,C,55,12,16,28,-13,32,86,1,5,5,0,0,49,19
Seth Jones,CHI,D,72,12,25,37,-38,30,178,1,2,10,0,1,106,125
Nikolaj Ehlers,WPG,LW,45,12,26,38,-2,11,132,0,3,9,0,0,36,10
Sam Lafferty,TOR,RW,70,12,15,27,-11,37,102,1,0,0,4,1,125,33
Carl Grundstrom,LA,LW,57,12,7,19,-4,16,90,2,1,0,0,0,144,17
Adam Fox,NYR,D,82,12,60,72,28,34,159,5,1,28,0,3,25,125
Ryan Lomberg,FLA,LW,82,12,8,20,-1,88,134,1,0,0,0,0,149,24
Mason Marchment,DAL,LW,68,12,19,31,-6,80,148,2,2,3,0,0,88,39
Yakov Trenin,NSH,C,77,12,12,24,-7,47,140,2,0,2,2,0,167,30
Eric Robinson,CLS,LW,72,12,12,24,-21,6,98,1,0,0,0,2,124,32
Jack McBain,ARI,C,82,12,14,26,-8,64,85,2,0,0,0,0,304,51
John-Jason Peterka,BUF,RW,77,12,20,32,-15,26,125,1,2,3,0,0,18,10
Anton Lundell,FLA,C,73,12,21,33,1,43,152,1,0,5,2,0,29,32
Matias Maccelli,ARI,LW,64,11,38,49,0,18,61,1,1,12,0,0,24,20
